year,scientific_name,common_name,functional_group,commercial_group,country,sector_type,catch_status,reporting_status,gear_name,catch_sum,Gear_Cat
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Belgium,Industrial,Discards,Unreported,bottom trawl,1.4266726,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Belgium,Industrial,Discards,Unreported,shrimp trawl,614.7589,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Belgium,Industrial,Discards,Unreported,beam trawl,1007.8955,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Belgium,Industrial,Discards,Unreported,otter trawl,67.48877,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Belgium,Industrial,Discards,Unreported,other,18.170174,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Belgium,Industrial,Discards,Unreported,pots or traps,18.238419,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Belgium,Industrial,Landings,Reported,bottom trawl,70.18407,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Belgium,Industrial,Landings,Reported,shrimp trawl,0.006601648,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Belgium,Industrial,Landings,Reported,beam trawl,3.7625384,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Belgium,Industrial,Landings,Reported,otter trawl,0.25189453,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Belgium,Industrial,Landings,Reported,other,6.2516966,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Belgium,Industrial,Landings,Reported,pots or traps,0.28446957,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,China,Industrial,Discards,Unreported,longline,17.491337,Line
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Industrial,Discards,Unreported,gillnet,0.09163544,Net
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Industrial,Landings,Reported,bottom trawl,301746.4,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Industrial,Landings,Reported,pelagic trawl,0.030133732,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Industrial,Landings,Reported,purse seine,63234.66,Purse Seine
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Industrial,Landings,Reported,gillnet,10.179726,Net
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Industrial,Landings,Reported,pots or traps,116.4312,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Industrial,Landings,Reported,mixed gear,117.37919,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Industrial,Landings,Reported,unknown class,0.427972,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Industrial,Landings,Reported,unknown class,0.427972,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Industrial,Landings,Reported,unknown class,855.0881,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Artisanal,Landings,Reported,artisanal fishing gear,0.000667064,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Artisanal,Landings,Reported,artisanal fishing gear,1.3327943,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Artisanal,Landings,Reported,artisanal fishing gear,0.000667064,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Artisanal,Landings,Reported,small scale seine nets,0.00490369,Net
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Denmark,Artisanal,Landings,Reported,small scale gillnets,0.03956437,Net
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Discards,Unreported,bottom trawl,191.30203,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Discards,Unreported,pelagic trawl,196.86757,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Discards,Unreported,longline,3.961177,Line
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Discards,Unreported,purse seine,104.90342,Purse Seine
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Discards,Unreported,gillnet,0.000605222,Net
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Discards,Unreported,mixed gear,2.6795053,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Discards,Unreported,unknown class,0.14401028,Other
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Landings,Reported,bottom trawl,18.179441,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Landings,Reported,bottom trawl,36322.527,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Landings,Reported,bottom trawl,18.179441,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Landings,Reported,pelagic trawl,99007.31,Trawl
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Landings,Reported,longline,1.1016755,Line
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Landings,Reported,longline,1.1016755,Line
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Landings,Reported,longline,2201.1477,Line
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Landings,Reported,purse seine,52658.44,Purse Seine
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Landings,Reported,gillnet,235.61606,Net
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Landings,Reported,gillnet,0.11792595,Net
2017,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Faeroe Isl. (Denmark),Industrial,Landings,Reported,gillnet,0.11792595,Net
